# monster ID	monster name	Color if you're blue	Color if you're red.
1201	Black Crayon Crimbo Elf		red
1202	Black Crayon Mer-kin		red
1204	Black Crayon Penguin	blue	
1228	panicking Knott Yeti	red	red
1230	smut orc jacker	red	red
1231	smut orc pipelayer	blue	blue
1232	smut orc nailer	red	red
1233	smut orc screwer	blue	blue
1234	smut orc pervert	blue	red
1235	oil slick		red
1236	oil tycoon		blue
1237	oil baron		red
1238	oil cartel		blue
1240	Bubblemint Twins	red	red
1241	Big Wheelin' Twins	blue	
1242	Mismatched Twins	red	red
1243	Creepy Ginger Twin		blue
1244	Troll Twins		blue
1245	spider (duck?) topiary animal		red
1246	bearpig topiary animal	blue	
1247	elephant (meatcar?) topiary animal	red	
1254	Claybender Sorcerer Ghost	blue	blue
1255	Dusken Raider Ghost	red	
1256	Space Tourist Explorer Ghost	red	red
1257	Battlie Knight Ghost	blue	blue
1258	Whatsian Commando Ghost		red
1290	salaminder		red
1332	Fitness Giant	blue	blue
1333	Neckbeard Giant	blue	blue
1334	Foodie Giant	red	red
1335	Renaissance Giant	blue	blue
1336	Punk Rock Giant	blue	blue
1337	Steampunk Giant	red	red
1341	huge mosquito	blue	
1426	dense liana	blue	blue
1427	pygmy janitor	red	red
1428	pygmy shaman	red	red
1429	pygmy witch surgeon	red	red
1430	pygmy witch accountant	blue	blue
1431	drunk pygmy	red	red
1432	pygmy bowler	blue	blue
1433	pygmy witch nurse	blue	blue
1434	pygmy witch lawyer		blue
1435	pygmy orderlies	blue	blue
1436	junksprite sharpener		red
1437	junksprite bender		blue
1438	junksprite melter		blue
1439	Doctor Oh, the Junksprite Boss		red
1510	Copperhead Club bartender	red	red
1511	Mob Penguin Capo	red	red
1512	ninja dressed as a waiter	blue	blue
1513	waiter dressed as a ninja	red	red
1514	Frozen Solid Snake	blue	blue
1515	The Frattlesnake		red
1516	The Snake With Like Ten Heads		red
1517	Batsnake	red	red
1518	Burning Snake of Fire	red	red
1519	Snakeleton	red	red
1520	man with the red buttons	red	red
1521	red skeleton	blue	blue
1522	red butler		blue
1523	Red Herring		blue
1524	Red Snapper		red
1525	Red Fox		red
1526	lynyrd skinner		blue
1527	fleet woodsman		blue
1528	Blue Oyster cultist	red	red
1529	eagle	blue	blue
1530	Jefferson pilot	red	red
1531	Ron "The Weasel" Copperhead	red	red
1532	fan dancer	blue	blue
1533	lynyrd	blue	red
1540	Wardröb nightstand	red	red
1541	animated mahogany nightstand	blue	blue
1542	animated ornate nightstand	red	red
1543	animated rustic nightstand		blue
1544	elegant animated nightstand	blue	blue
1545	cosmetics wraith	red	red
1552	stuffed moose head		blue
1553	full-length mirror		red
1554	ancestral Spookyraven portrait		blue
1555	sheet ghost		red
1556	monstrous boiler	blue	blue
1557	steam elemental		blue
1558	coaltergeist	red	red
1559	Bram the Stoker		red
1560	plaid ghost	red	red
1561	cabinet of Dr. Limpieza	blue	blue
1562	possessed laundry press	red	red
1563	mad wino	red	red
1565	Stephen Spookyraven		red
1576	black magic woman	red	red
1577	black friar	blue	blue
1590	white elephant		red
1673	Tasmanian Dervish	blue	blue
1677	Mr. Loathing		blue
1681	The Mastermind	red	
1685	Seannery the Conman		red
1689	The Lavalier	blue	blue
1697	Odorous Humongous	red	red
1701	Arthur Frankenstein		blue
1705	Leonard		red
1706	wall of meat	red	red
1707	wall of skin	blue	blue
1708	wall of bones	red	red
1743	swarm of skulls		blue
1744	factory-irregular skeleton		red
1745	remaindered skeleton		red
1746	novelty tropical skeleton		blue
1780	The Unknown Accordion Thief		red
1974	Eldritch Tentacle	blue	red
2060	fantasy bandit	red	red
2104	sausage goblin		red
2153	basic lihc	red	red
2154	party skelteon	red	red
2155	musical fruit bat	red	red
2156	magical fruit bat	blue	blue
2249	gator-human hybrid		blue
2250	gangster's moll		red
2251	traveling hobo		red
2252	goblin flapper		blue
2253	undercover prohibition agent		red
2268	Met	blue	blue
2269	Tackle Fire	red	red
2270	Blader	blue	blue
2453	Embering Hulk	Blue	
2454	redhat hacker	Red 	
2456	greenhat hacker		blue
2460	ICE barrier	Blue	
2461	corruption quarantine		blue
2470	zombie process		blue
2471	botfly	Blue 	blue
2473	ICE man	Red	red
2497	time cop	blue	red
2499	some fish	blue	red
2539	Scarlet Sorceress		red
2540	Sapphire Sorceress	blue	
